company_name,company_id,company_isin,weights,investment_value,engagement_target
3M,US88579Y1010,US88579Y1010,0.125,4570000000,FALSE
Abbott Laboratories,US0028241000,US0028241000,0.125,3687000000,FALSE
AbbVie Inc.,US00287Y1091,US00287Y1091,0.125,5697000000,FALSE
Accenture,IE00B4BNMY34,IE00B4BNMY34,0.125,4780000000,FALSE
Adobe Inc.,US00724F1012,US00724F1012,0.125,2951000000,FALSE
Allstate Corp,US0200021014,US0200021014,0.125,4847000000,FALSE
Alphabet Inc. / Google,US02079K1079,US02079K1079,0.125,34340000000,FALSE
Altria Group Inc,US02209S1033,US02209S1033,0.125,6963000000,FALSE
